gene_id,890_hisat2,913_hisat2,933_hisat2
BBB50_RS03075,33564,33517,34579
BBB50_RS03080,13377,11809,12589
BBB50_RS03085,304716,276933,339888
BBB50_RS03090,49350,39162,31658
BBB50_RS03095,76505,18020,23125
BBB50_RS03100,113414,139976,148490
BBB50_RS03105,2,6,0
BBB50_RS03110,10644,6354,8947
BBB50_RS03115,3075,1712,1989
BBB50_RS03120,4980,4213,4688
BBB50_RS03125,11539,11911,11011
BBB50_RS03130,33354,43336,47511
BBB50_RS03135,18746,20995,22333
BBB50_RS03140,3860,2268,3631
BBB50_RS03145,12541,11978,14924
BBB50_RS03150,3618,3498,4584
BBB50_RS03155,14049,15033,12519
BBB50_RS03160,3774,2843,2680
BBB50_RS03165,30509,28469,27293
BBB50_RS03170,20546,23750,23081
BBB50_RS03175,17452,18821,19152
BBB50_RS03180,1532,928,780
BBB50_RS03190,36584,8639,7014
BBB50_RS03195,3192,566,989
BBB50_RS03200,5433,4542,5103
BBB50_RS03205,2091,1450,1859
BBB50_RS03210,467,329,416
BBB50_RS03215,5547,4356,4330
BBB50_RS03220,3812,3305,3505
BBB50_RS03225,1719,1259,1578
BBB50_RS03230,18415,16239,16654
BBB50_RS03235,6505,3116,3136
BBB50_RS03240,14178,7950,10123
BBB50_RS03245,15345,7767,8588
BBB50_RS03250,17088,24119,22780
BBB50_RS03255,29496,36360,38255
BBB50_RS03260,41002,51839,48426
BBB50_RS03265,29247,32870,37045
BBB50_RS03270,27127,22637,24610
BBB50_RS03275,109271,100434,119277
BBB50_RS03280,100135,87061,99475
BBB50_RS03285,43436,38768,46038
BBB50_RS03290,36406,34455,36584
BBB50_RS03295,45531,39748,45560
BBB50_RS03300,81341,79027,85177
BBB50_RS03305,32837,15008,13161
BBB50_RS03310,1874,832,753
BBB50_RS03315,25272,6300,5906
BBB50_RS03320,27711,21460,20858
BBB50_RS03325,13012,7666,10114
BBB50_RS03330,21752,31995,45497
BBB50_RS03335,3800,3051,3458
BBB50_RS03340,5058,3668,4514
BBB50_RS03345,2742,2018,2332
BBB50_RS03350,64019,59290,59476
BBB50_RS03355,5200,4866,6826
BBB50_RS03360,2856,2115,3307
BBB50_RS03365,6926,3641,4560
BBB50_RS03370,7063,4798,6418
BBB50_RS03375,9396,5429,6560
BBB50_RS03380,9710,6230,6463
BBB50_RS03385,8274,7107,8010
BBB50_RS03390,11969,10050,12439
